"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1996-03-04 12:00:00,1996,3,4,-8.27777777777778,5.22222222222222,-1,0
1996-03-05 12:00:00,1996,3,5,0.722222222222221,5.22222222222222,2.72222222222222,2.286
1996-03-06 12:00:00,1996,3,6,0.388888888888891,4.77777777777778,2.38888888888889,0.254
1996-03-07 12:00:00,1996,3,7,0.999999999999998,5.72222222222222,3.33333333333333,1.016
1996-03-08 12:00:00,1996,3,8,-0.611111111111112,9.5,3.77777777777778,0
1996-03-09 12:00:00,1996,3,9,-0.777777777777777,9,3.27777777777778,0
1996-03-10 12:00:00,1996,3,10,-3.38888888888889,9.88888888888889,2.83333333333333,0
1996-03-11 12:00:00,1996,3,11,-6.5,6.61111111111111,-2.66666666666667,0
1996-03-12 12:00:00,1996,3,12,-10.2222222222222,2.22222222222222,-3.22222222222222,0
1996-03-13 12:00:00,1996,3,13,-7.11111111111111,3.38888888888889,-1.94444444444444,0
1996-03-14 12:00:00,1996,3,14,-3.88888888888889,8.11111111111111,1.44444444444445,0
1996-03-15 12:00:00,1996,3,15,0.277777777777778,13.7222222222222,5.27777777777778,0
1996-03-16 12:00:00,1996,3,16,-0.88888888888889,11.8888888888889,5.83333333333333,0
1996-03-17 12:00:00,1996,3,17,4.22222222222222,8.72222222222222,5.77777777777778,0
1996-03-18 12:00:00,1996,3,18,3.38888888888889,9.77777777777778,6.05555555555556,0
1996-03-19 12:00:00,1996,3,19,-0.388888888888889,11.5,6.66666666666667,0
1996-03-20 12:00:00,1996,3,20,3.38888888888889,15.7222222222222,9,0
1996-03-21 12:00:00,1996,3,21,5.5,14.6111111111111,8.77777777777778,0
1996-03-22 12:00:00,1996,3,22,5.11111111111111,10,7.72222222222222,3.302
1996-03-23 12:00:00,1996,3,23,6.72222222222222,11.3888888888889,8.94444444444444,0
1996-03-24 12:00:00,1996,3,24,5.88888888888889,12,9.44444444444444,1.27
1996-03-25 12:00:00,1996,3,25,4,14.8888888888889,8.88888888888889,0
1996-03-26 12:00:00,1996,3,26,2.22222222222222,11.8888888888889,6.33333333333333,0
1996-03-27 12:00:00,1996,3,27,-4.11111111111111,8.38888888888889,1.77777777777778,2.286
1996-03-28 12:00:00,1996,3,28,-6.61111111111111,10,1.77777777777778,0
1996-03-29 12:00:00,1996,3,29,0.611111111111112,7.22222222222222,2.5,1.27
1996-03-30 12:00:00,1996,3,30,-2,7.11111111111111,1.5,2.794
1996-03-31 12:00:00,1996,3,31,-3.5,4.27777777777778,0.166666666666665,0.508
1996-04-01 12:00:00,1996,4,1,-2.77777777777778,6.88888888888889,1.11111111111111,3.81
1996-04-02 12:00:00,1996,4,2,-6.27777777777778,6.5,0.277777777777778,0
1996-04-03 12:00:00,1996,4,3,-4.61111111111111,8.88888888888889,2.05555555555556,0
1996-04-04 12:00:00,1996,4,4,-0.722222222222223,7.27777777777778,4.16666666666667,0
1996-04-05 12:00:00,1996,4,5,2.27777777777778,13.2777777777778,7,0
1996-04-06 12:00:00,1996,4,6,5.11111111111111,17.2222222222222,10.2222222222222,0
1996-04-07 12:00:00,1996,4,7,5.22222222222222,18.7222222222222,11.5,0
1996-04-08 12:00:00,1996,4,8,2.27777777777778,15,6.27777777777778,0
1996-04-09 12:00:00,1996,4,9,4.77777777777778,17.5,9.61111111111111,0
1996-04-10 12:00:00,1996,4,10,5.72222222222222,17.5,11.5555555555556,0
1996-04-11 12:00:00,1996,4,11,5.11111111111111,15.2777777777778,8.94444444444444,0.254
1996-04-12 12:00:00,1996,4,12,0.999999999999998,10.2777777777778,5.05555555555556,3.048
1996-04-13 12:00:00,1996,4,13,-1.72222222222222,12.2222222222222,5.16666666666667,0
1996-04-14 12:00:00,1996,4,14,-3.27777777777778,14.3888888888889,6.11111111111111,0
1996-04-15 12:00:00,1996,4,15,-2,16.7777777777778,7.55555555555556,0
1996-04-16 12:00:00,1996,4,16,-0.388888888888889,19.5,11.2222222222222,0
1996-04-17 12:00:00,1996,4,17,5.72222222222222,21.6111111111111,14.1666666666667,0
1996-04-18 12:00:00,1996,4,18,8,19.6111111111111,13.7777777777778,0
1996-04-19 12:00:00,1996,4,19,3.72222222222222,23.1111111111111,14.1111111111111,0
1996-04-20 12:00:00,1996,4,20,7.77777777777778,26.7222222222222,18,0
1996-04-21 12:00:00,1996,4,21,10.3888888888889,27.3888888888889,19.6111111111111,0
1996-04-22 12:00:00,1996,4,22,14.2777777777778,27.6111111111111,20.7222222222222,0
1996-04-23 12:00:00,1996,4,23,14.1111111111111,25.1111111111111,17.6666666666667,0.254
1996-04-24 12:00:00,1996,4,24,7.38888888888889,17.7222222222222,11.3333333333333,0.254
1996-04-25 12:00:00,1996,4,25,4.88888888888889,16.7777777777778,10.7777777777778,8.128
1996-04-26 12:00:00,1996,4,26,0.722222222222221,19.8888888888889,11.2222222222222,0
1996-04-27 12:00:00,1996,4,27,4.88888888888889,22.1111111111111,14.5,0
1996-04-28 12:00:00,1996,4,28,6,19.6111111111111,11.3333333333333,0
1996-04-29 12:00:00,1996,4,29,5,15.6111111111111,9.5,0
1996-04-30 12:00:00,1996,4,30,2.72222222222222,17,10.1666666666667,0
1996-05-01 12:00:00,1996,5,1,3.72222222222222,20,12.6111111111111,0
1996-05-02 12:00:00,1996,5,2,8.5,16.5,10.7222222222222,3.81
1996-05-03 12:00:00,1996,5,3,6.77777777777778,16.7222222222222,10.9444444444444,7.112
1996-05-04 12:00:00,1996,5,4,5,13.8888888888889,7.22222222222222,4.826
1996-05-05 12:00:00,1996,5,5,-0.722222222222223,11.2222222222222,6.11111111111111,1.778
1996-05-06 12:00:00,1996,5,6,-1,14.6111111111111,8.16666666666667,0
1996-05-07 12:00:00,1996,5,7,2.38888888888889,14.2777777777778,10.1666666666667,1.016
1996-05-08 12:00:00,1996,5,8,5.72222222222222,12.5,9,0
1996-05-09 12:00:00,1996,5,9,5.38888888888889,13.6111111111111,8.94444444444444,2.286
1996-05-10 12:00:00,1996,5,10,4.61111111111111,11.7777777777778,7.27777777777778,0
1996-05-11 12:00:00,1996,5,11,6.11111111111111,11.3888888888889,8.77777777777778,0.508
1996-05-12 12:00:00,1996,5,12,7.61111111111111,11.3888888888889,9.38888888888889,0
1996-05-13 12:00:00,1996,5,13,7.61111111111111,10.5,8.94444444444444,0
1996-05-14 12:00:00,1996,5,14,8,13.5,10.4444444444444,0
1996-05-15 12:00:00,1996,5,15,8.11111111111111,12.1111111111111,9.83333333333334,0
1996-05-16 12:00:00,1996,5,16,5.27777777777778,14.3888888888889,10.0555555555556,0
1996-05-17 12:00:00,1996,5,17,10.3888888888889,23,15.2777777777778,0
1996-05-18 12:00:00,1996,5,18,10.6111111111111,17.7777777777778,14.0555555555556,2.794
1996-05-19 12:00:00,1996,5,19,9.27777777777778,16.8888888888889,12.6111111111111,1.27
1996-05-20 12:00:00,1996,5,20,4.61111111111111,18.6111111111111,11.9444444444444,6.096
